name,status
Crystalsol,operating
JBI Fish & Wings,operating
COINPLUS,closed
Imagine Communications,operating
DNA13,operating
Quickfire Games,closed
Sente Inc.,operating
Triosyn,operating
Urgent.ly,operating
Map Decisions,operating
Omega Discovery Solutions,operating
Axiata,closed
Tripsuit,closed
Stratics Networks Inc,operating
LTG Exam Prep Platform,operating
Littlstar,operating
Aarki,operating
Awesome Maps,closed
Stroma Medical,operating
Solasta,operating
Storeness,closed
Bizpora,operating
LMC Diabetes & Endocrinology,operating
Montage Healthcare Solutions,operating
Farrago Comics,operating
Syrinix,operating
Talkway Communications,operating
Mollejuo,operating
Cymfony,operating
MIT Energy Initiative,operating
Lucent Health Solutions,operating
thesweetlink,operating
Boston Technologies,operating
Wavii,operating
"Dots ,LLC",operating
Xetawave,operating
Dental Corp,operating
Expway,operating
Avenger Networks,operating
Ginio.com,operating
Skyrobotic,operating
Sijibang.com,operating
Calolo,operating
Taggify,operating
Forterra Systems,operating
Get Satisfaction,operating
Mtone Wireless,operating
EZChip,operating
BioBots,closed
Adamant Energy,operating
Bunch,operating
Enevate,operating
GroundMetrics,operating
Gruppo Argenta,operating
GammaSite,closed
MashON,operating
Native Networks,operating
Lucky Oyster,operating
The Backscratchers,operating
Eurekite,closed
Pundit Arena,operating
DashLuxe,operating
Festicket,operating
EAP Technology Systems,operating
siXis,closed
GoldSpot Media,operating
E la Carte,operating
Superior Global Solutions,operating
Nowsta,operating
Voalte,operating
icomasoft,operating
BTCjam,operating
Pangaea Resources,closed
BlogCN,operating
Diffinity Genomics,operating
KidStart,operating
DUFL,closed
IDRI (Infectious Disease Research Institute),operating
Splurgy,operating
beenz.com,closed
REVA Medical,operating
Indie Broadcast Network,closed
Accurence,operating
Minka,operating
Com2uS Corp.,operating
DYNAGENT SOFTWARE SL,operating
AWP Energy,operating
Xactly Corp,operating
FreshMonk,operating
Bandura,operating
alooma,operating
Xterprise Solutions,operating
Velomedix,operating
Hecare,closed
ParinGenix,operating
Chamelic,operating
Slipstream,operating
Peak 10,operating
Theatro,operating
BurstPoint Networks,operating
StepOne,operating
Metaome,operating
Astrobotic Technology,operating
FANCY CELLAR - 品庄酒,operating
Monitoring Division,closed
DataMotion,operating
Gumhouse,operating
Nookster,closed
Magzter,operating
Capital Esquire,closed
Mantis Deposition,operating
Immy,operating
Analyze,operating
Parodys Entertainment,closed
Charles River Laboratories International,operating
SynapticMash,operating
50 Partners,operating
GoAlbert,operating
Imitix,operating
TOBESOFT,operating
SoSocio,operating
Chicken Out Rotisserie,operating
Acacia Research,closed
OSG Records Management,closed
World Class Driving,closed
PocketMarket,operating
Connectbeam,operating
NA-KD.com - The next generation fashion marketplace,closed
My Study Rewards,closed
Cerevast Therapeutics,operating
Shoplins,operating
kibow,operating
Amatra SmartSource,operating
Apokalyyis,operating
HeartWare International,operating
Jobaline,operating
Searchwords Pty Ltd,operating
Scholar Rock,operating
Beyond the Box,operating
Silentium,operating
SYLOB,operating
Accedian Networks,operating
Emerging Threats,operating
Pulse Aerospace,closed
Alta Rail Technology,operating
Habitissimo,operating
Yaoota.com,operating
CloudDesk,operating
Bringhub,closed
Nimbus Concepts,operating
TalentIQ,closed
Square Yards,operating
RecordSled,operating
SP3H,closed
Zjdg.cn,closed
Graftec Electronics,operating
SymbioCellTech,operating
Royal Treatment Fly Fishing,operating
Love Warrior Wellness Collective,closed
Naubo,operating
Scripted.com,operating
mParticle,operating
Manitex International,operating
Genetics Squared,operating
SafeView,operating
Spinal USA,operating
Fondeadora,operating
The Preferred Prepaid,operating
"Nanovis, Inc.",operating
Royal Klasse Autos,closed
Wipebook,operating
AMT,operating
Pinrose,operating
GranData,operating
CommunitySift,operating
Longxun Changtian Technology,operating
SageFire,operating
NowPublic,operating
Antavo,operating
CloudCrowd,operating
ioBridge,operating
CDx Life,operating
sentitO Networks,operating
